candidate_id,condition,headword,n_ai_raters,written_form_familiarity_mean,written_form_familiarity_sd,spoken_form_familiarity_mean,spoken_form_familiarity_sd,known_noun_familiarity_mean,known_noun_familiarity_sd,target_prior_knowledge_mean,target_prior_knowledge_sd,known_noun_accuracy_prob_mean,known_noun_accuracy_prob_sd,target_verb_preknowledge_prob_mean,target_verb_preknowledge_prob_sd,relatedness_mean,relatedness_sd,guessability_mean,guessability_sd,overlap_confusability_mean,overlap_confusability_sd,gloss_clarity_mean,gloss_clarity_sd,ok_count,watch_count,fail_count,threshold_issues,ai_recommendation,notes_joined
poly_nv_p02,polysemy,chair,5,6.60,0.80,6.60,0.80,6.80,0.40,2.40,1.02,0.96,0.04,0.23,0.15,5.20,0.40,4.00,0.63,3.20,0.98,6.80,0.40,2,3,0,,WATCH_BEFORE_FORMAL,いすは知っている / 名詞は既知 / 動詞も少し知る / chairは学校英語で既知 / 文脈で会議が強い
poly_nv_p03,polysemy,screen,5,6.40,0.49,6.20,0.75,6.40,0.49,2.40,0.49,0.94,0.04,0.20,0.07,4.20,0.40,3.20,0.75,3.40,0.80,6.00,0.63,2,3,0,relatedness_mean>=5.0 failed: 4.20,WATCH_BEFORE_FORMAL,screeningは少し聞く / 選別は難しめ / 名詞は既知 / スクリーン転移あり / 訳は明確
poly_nv_p04,polysemy,pocket,5,6.20,0.75,6.00,0.89,6.60,0.49,1.20,0.40,0.96,0.03,0.09,0.05,3.40,0.49,3.00,1.55,3.00,1.10,5.60,0.49,3,2,0,relatedness_mean>=5.0 failed: 3.40,WATCH_BEFORE_FORMAL,動詞は難しい / 動詞は未習 / 動詞は難しい / ポケットは借用語 / 汚職と金で推測可
poly_nv_p05,polysemy,mirror,5,5.60,0.49,5.60,0.49,6.20,0.75,2.80,0.98,0.92,0.05,0.27,0.13,5.40,0.49,4.20,0.75,3.20,0.75,6.80,0.40,1,4,0,target_prior_knowledge_mean<=2.5 failed: 2.80; target_verb_preknowledge_prob_mean<=0.25 failed: 0.27,WATCH_BEFORE_FORMAL,鏡から少し推測 / 反映は推測可 / 反映は推測可 / mirror反映は試験語彙 / 経験が手掛かり
poly_nv_p06,polysemy,ship,5,6.20,0.75,6.20,0.75,6.20,0.75,3.80,0.75,0.90,0.08,0.43,0.13,4.60,0.49,4.80,0.40,3.60,0.80,6.80,0.40,0,5,0,target_prior_knowledge_mean<=2.5 failed: 3.80; target_verb_preknowledge_prob_mean<=0.25 failed: 0.43; relatedness_mean>=5.0 failed: 4.60,WATCH_BEFORE_FORMAL,通販で見るかも / 発送を知る可能性 / 発送を知るかも / ship発送は既知化しやすい / 注文で推測可
poly_nv_p07,polysemy,channel,5,5.80,0.75,5.80,0.75,5.80,0.75,2.00,0.63,0.88,0.06,0.14,0.08,4.00,0.63,2.80,0.40,3.40,0.49,5.60,1.02,3,2,0,known_noun_familiarity_mean>=6.0 failed: 5.80; relatedness_mean>=5.0 failed: 4.00,WATCH_BEFORE_FORMAL,向けるは難しい / チャンネル由来 / やや抽象的 / チャンネル転移あり / 向けるが少し広い
poly_nv_p08,polysemy,market,5,6.40,0.80,6.40,0.80,6.20,0.75,3.40,1.02,0.90,0.08,0.37,0.18,5.00,0.00,5.00,0.63,4.20,0.40,6.60,0.49,0,5,0,target_prior_knowledge_mean<=2.5 failed: 3.40; target_verb_preknowledge_prob_mean<=0.25 failed: 0.37,WATCH_BEFORE_FORMAL,marketはよく見る / 動詞も見慣れる / 市場から推測可 / マーケットとmarket既知 / 商品と家族で容易
poly_nv_p09,polysemy,shoulder,5,5.80,0.75,5.80,0.75,6.20,0.75,2.00,0.63,0.92,0.07,0.16,0.09,4.40,0.49,3.60,1.02,3.00,1.10,6.80,0.40,4,1,0,relatedness_mean>=5.0 failed: 4.40,WATCH_BEFORE_FORMAL,肩は知っている / 負担は低め / 負担は分かるかも / 身体語で推測可能 / 費用が手掛かり
poly_nv_p10,polysemy,head,5,7.00,0.00,7.00,0.00,7.00,0.00,3.60,1.02,0.98,0.01,0.40,0.16,5.00,0.00,4.60,0.80,3.80,0.75,6.80,0.40,0,5,0,target_prior_knowledge_mean<=2.5 failed: 3.60; target_verb_preknowledge_prob_mean<=0.25 failed: 0.40,WATCH_BEFORE_FORMAL,headは多義に注意 / 率いるは既習あり / 率いるは既知寄り / head率いるは受験語 / チームで推測可
poly_nv_p11,polysemy,corner,5,5.80,0.75,5.80,0.75,5.80,0.75,1.80,0.75,0.89,0.07,0.14,0.10,4.20,0.40,3.20,1.17,3.60,0.80,6.40,0.49,4,1,0,known_noun_familiarity_mean>=6.0 failed: 5.80; relatedness_mean>=5.0 failed: 4.20,WATCH_BEFORE_FORMAL,角だけ知る / 動詞は低頻度 / 意味は少し遠い / 基本語で推測可 / 警察と泥棒で強い
