rank,candidate_id,headword,round1_role,prompt_source,target_context_sentence_en,sentence_token_count,non_target_unknown_words,non_target_high_rank_words,max_non_target_nj8_rank,context_cue_risk,construct_risk,recommended_action,review_notes,instrument_note
1,homo_nv_p02,cow,core_final_set_contender,top10_pre_pilot_pack,The coach tried to cow the players into silence.,9,,,1178,medium,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,"The context must make the rare verb interpretable, but silence may also make the target easier; keep this as an explicit guessability check.",Use in the smaller top-10 pilot or the full 24-item round.
2,homo_nv_p07,dog,core_final_set_contender,top10_pre_pilot_pack,Reporters may dog the actor for weeks.,7,,,1282,medium,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,Animal behavior may make the target guessable; keep the relatedness and guessability checks strict.,Use in the smaller top-10 pilot or the full 24-item round.
3,low_nv_x07,pound,core_final_set_contender,top10_pre_pilot_pack,The rain will pound the roof all night.,8,,,1248,low,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,Verify that pound as unit or currency is familiar enough without making the hitting verb familiar.,Use in the smaller top-10 pilot or the full 24-item round.
4,homo_nv_p04,coast,core_final_set_contender,top10_pre_pilot_pack,The bike can coast down the hill.,7,,,916,medium,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,Treat this as a watch item for guessability from motion imagery.,Use in the smaller top-10 pilot or the full 24-item round.
5,homo_nv_p03,floor,core_final_set_contender,top10_pre_pilot_pack,The hard question will floor many students.,7,,,347,medium,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,"Useful for objective target check, but relatedness and guessability need strict thresholds.",Use in the smaller top-10 pilot or the full 24-item round.
6,low_nv_x25,needle,core_final_set_contender,top10_pre_pilot_pack,His friends may needle him about the mistake.,8,,,832,medium,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,"Because the target is informal, collect a register acceptability note in pilot norming.",Use in the smaller top-10 pilot or the full 24-item round.
7,low_nv_x13,cap,core_final_set_contender,top10_pre_pilot_pack,The school may cap the class at thirty students.,9,,,1114,medium,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,The at-quantity frame may cue the limit meaning; target preknowledge and guessability must be separated.,Use in the smaller top-10 pilot or the full 24-item round.
8,low_nv_x27,bolt,core_final_set_contender,top10_pre_pilot_pack,The horse may bolt when it hears a loud noise.,10,,,1724,medium,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,"Keep a noun-route check so the hardware noun, not the athlete name, is the known route.",Use in the smaller top-10 pilot or the full 24-item round.
9,low_nv_x03,frame,core_final_set_contender,top10_pre_pilot_pack,The thief tried to frame another man.,7,,,2111,medium,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,"Legal context remains necessary, but avoid extra advanced words around the target.",Use in the smaller top-10 pilot or the full 24-item round.
10,low_nv_x24,stomach,core_final_set_contender,top10_pre_pilot_pack,I cannot stomach his rude jokes.,6,,,2112,medium,top-10 reviewed prompt; sentence revisions already applied where needed,ready_for_pilot_review,Cannot plus negative object may cue tolerate; use guessability ratings to decide.,Use in the smaller top-10 pilot or the full 24-item round.
